row,col,reseller_id,time_4y,time_phys,deviation
223,1149,2267,197.55548,207.23468177100736,-9.67920081397611
107,473,89,1045.579,1007.2239563312451,38.35502316094244
470,715,2739,375.34628,363.47663945707023,11.86964350191414
419,224,1758,639.1566,639.2926552983156,-0.13603908737809434
387,194,1853,690.377,691.0386435600157,-0.6616293998594074
262,287,2066,509.762,502.6232133340556,7.138780074147519
211,1016,2262,524.3191,552.7354290651203,-28.416337268245343
191,635,2149,222.06207,221.09977642055327,0.962296333352981
707,296,1103,109.95879,109.59333329120294,0.3654603489337802
117,1006,2312,1030.095,1015.4070103555714,14.687960347553599
114,1019,2312,1194.2811,1183.9848710927897,10.296256836897783
200,515,2293,695.7911,683.2522875477807,12.538789112375525
380,482,1901,644.61786,634.0231163743371,10.594742512381686
401,241,1851,473.8025,473.80249870079075,-8.46641574980822e-06
869,470,771,45.40258,40.97056289599111,4.432017365239361
109,846,2310,854.875,853.8856961467923,0.9893038532077298
350,142,2410,593.9312,593.8770887989316,0.05412457997465481
703,320,1295,65.51338,102.66016800037893,-37.14678604237112
382,1195,1848,1261.2281,1226.1848452622155,35.043304151846996
751,471,1156,303.0651,290.3466784703055,12.71841552383512
475,675,1669,103.882256,105.94073089304648,-2.058475338847259
64,1212,2275,2189.3728,2189.077616425281,0.29518630909387866
289,524,2136,292.0765,291.11843361715705,0.9580739512023229
708,483,1171,331.3341,326.42407204235894,4.910034402953556
565,838,1565,806.3081,800.698809226959,5.6092962417909575
475,147,1758,865.69165,866.3925839164722,-0.7009335258471765
283,651,2158,482.93,483.0407405409256,-0.11074786514433299
375,591,1951,553.079,557.2074984370424,-4.128518944854932
560,793,1693,27.428188,24.0,3.4281883239746094
211,668,2306,42.16374,30.985815774628524,11.177922476103898
199,271,2102,435.50534,433.12873386103524,2.3766067151366315
629,378,1340,364.67386,370.15808572008564,-5.484227077507512
204,389,2123,809.0528,807.5168090870304,1.535986323125826
592,823,1565,578.5011,569.6372611044601,8.863837528352406
570,822,1565,575.8711,560.1304724938396,15.740621256160352
452,515,1765,652.29504,653.6548426783742,-1.359798733061666
134,241,2288,268.64615,261.16286069656434,7.483287985076288
767,884,1219,962.19604,924.4215044047195,37.774540517155515
1045,621,2418,292.68713,265.614562221225,27.072571567837485
242,1169,2272,52.970562,57.117682397650505,-4.147120416449333
626,529,1510,557.9513,559.1420717044036,-1.1907777590911337
180,1051,2262,863.84424,885.5254933245876,-21.681255043337615
497,537,1765,138.29378,137.30500047302291,0.9887769927973977
596,738,1564,451.46548,442.67758499208884,8.787899627051786
339,894,2006,665.4802,668.9753072477029,-3.495082638327858
168,650,2149,494.7162,496.4948609127265,-1.7786743892889945
137,370,2123,1390.3032,1336.7516902227956,53.55153243345444
394,250,1851,432.38614,431.67479563781865,0.7113432781969777
491,1078,1713,444.05756,444.21488472495713,-0.1573285726133804
182,389,2123,846.63275,842.0150449102979,4.617706554545862
401,458,1882,1069.2866,1057.488004750906,11.79861634284407
209,1063,2262,598.3461,618.7704072477957,-20.424276876701924
629,768,1402,389.13684,381.6690115002726,7.467829320039925
475,374,1759,814.4019,810.4206822402291,3.981234263677152
758,141,916,144.36847,128.41256900713614,15.955900231145108
601,707,1564,174.1045,167.7614042497588,6.343103196530251
293,691,2225,529.19025,531.4983772709332,-2.308130688901997
610,749,1695,634.3804,624.9577108772927,9.422660216457302
587,225,2500,218.13771,217.80006136890657,0.33764920238249374
366,782,1977,106.15412,103.75170314567596,2.40241825324982
456,1063,1844,749.9291,737.0397709948998,12.889306153537746
171,138,2285,498.9313,498.99377295183893,-0.06246802019830966
305,990,2100,365.95477,358.5819475595116,7.372825389707145
1029,617,2418,28.970564,28.97056289599111,9.925586930137342e-07
418,1110,1848,202.50404,194.35969976321283,8.144343815888732
294,775,2096,213.06107,197.1364151259296,15.924650547898523
772,638,1198,446.11557,445.8271638944171,0.28840617394229184
628,429,1388,562.8797,560.3595278591758,2.5201718478554085
462,395,1759,540.2337,539.2823955956028,0.951308017678457
381,913,2010,487.37427,484.10462514766283,3.26964243046217
543,439,1612,523.6718,524.9245899786224,-1.2527760137786572
150,584,2296,244.5426,235.72487245160977,8.81773008745273
395,1051,1848,1120.2769,1113.5029582617103,6.773897207039681
118,417,2336,531.42004,524.2682574537083,7.1517864916041844
531,100,1409,617.3432,617.2247867484942,0.11841393509951104
670,283,1327,131.5113,131.67042780785812,-0.15912104516280579
458,493,1765,704.56396,693.4198208842175,11.144143959532471
163,1067,2262,1148.3566,1168.8648675522627,-20.508300169450195
368,1057,1848,1207.769,1208.1780540245143,-0.40901105576426744
529,1136,1753,576.39197,575.1017330096959,1.290234763741637
371,436,1901,1406.4979,1403.9286940704467,2.5692307342408185
847,320,723,52.85546,77.47394904991557,-24.618487929310106
660,679,1400,354.27142,354.19536446591894,0.07605887392480781
767,20,858,39.03288,38.623270988464355,0.4096078872680664
266,534,2136,382.2305,376.73414748444276,5.496351783135367
452,1155,1846,658.04224,634.0554063142457,23.986830013879285
262,420,2103,1089.6667,1083.2978646357797,6.368883411095339
421,950,1843,103.72254,104.17920144352493,-0.45665963444290014
449,321,1850,668.8919,668.8919016199501,5.118331159792433e-06
718,103,1220,233.01967,228.76759525225333,4.252073326848233
667,190,2690,190.48743,185.82337737594668,4.664049381865823
597,223,2500,105.78086,106.70688847351664,-0.9260275726377358
381,458,1873,1093.8158,1079.3665120638896,14.449283834547941
260,713,2242,92.54344,92.37313350382527,0.17030826863566517
887,658,569,269.65244,271.5305970013074,-1.8781616985730238
833,66,2600,67.797356,46.66671671632266,21.130638935532808
196,844,2310,548.2168,547.7019065321541,0.514890342845888
138,1101,2275,1418.0792,1418.0810176739224,-0.0017940411098607
221,773,2250,194.42036,188.81368350982666,5.606680870056152
279,988,2101,463.99222,461.2568675372043,2.7353504803738247
289,886,2256,780.0056,784.2525056487802,-4.246890414405243
707,716,1210,390.1263,388.693872573277,1.4324396825823555
160,552,2412,63.005768,54.81772447516167,8.188043347103957
639,323,1477,120.97169,123.48411814054866,-2.512430823654128
632,862,1404,37.854446,35.69341394604804,2.161032465084773
782,920,1219,375.05814,362.1415216616356,12.916614324692546
1001,575,243,40.970562,40.97056289599111,-9.147899362460521e-07
429,919,2010,294.69766,284.20976888430545,10.487893469210178
81,1034,2312,1644.2872,1634.947584603704,9.339646841608555
228,603,2146,548.6202,551.3218300138554,-2.701651791199197
1055,426,99,1414.4149,1141.987332548729,272.4275844434585
456,750,1795,321.0284,298.41455583387636,22.61385603135801
565,740,2408,229.86664,222.1273466412755,7.739291542318256
224,466,2127,438.04776,420.58183332754413,17.465926682221493
497,1110,1751,241.328,237.13386373359617,4.194139196091328
728,218,977,100.970566,100.97056289599111,2.899907329378948e-06
287,360,2065,167.92035,155.21245864028725,12.707890480806498
758,656,1198,247.18906,246.45276637616945,0.7362900203149252
42,333,2332,988.9193,975.4841531627084,13.435158360729133
450,448,1759,503.25406,499.9688689948442,3.285189843046453
852,237,396,0.0,0.0,0.0
317,564,2072,52.970562,52.97056289599111,-9.147899362460521e-07
879,410,483,314.084,315.4061208107176,-1.3221059181394708
217,170,2283,499.392,493.61266920564,5.77932908537565
505,614,1769,334.52658,330.4067081440298,4.119872666517097
879,349,455,277.5886,275.83120402270674,1.7573885065901322
350,255,1853,313.35297,307.6765513350338,5.676414973559929
279,986,2101,435.49545,434.8245173785129,0.6709355023464809
617,529,1510,480.21936,478.6112197377901,1.6081406137723775
292,111,2063,346.82468,344.5180085347596,2.3066679789122873
1008,460,2505,57.196068,58.037488705896635,-0.8414208958380414
18,259,2329,587.8251,585.2191930224164,2.605880219771052
543,180,1440,662.31366,662.148977364687,0.16468230328177924
821,944,830,255.11891,254.9050263311862,0.2138854119778557
98,533,2337,95.22723,90.15991553905809,5.067310718266128
224,832,2255,389.49164,372.08006624464235,17.411571938951397
598,796,1565,234.9924,227.06385195311273,7.9285491699341435
519,609,1769,424.60794,426.50495193087545,-1.8970112570473248
410,1113,1848,289.37003,272.9377858096022,16.432239825163435
152,1071,2262,1300.5142,1321.161639525745,-20.64747936949493
412,1153,1848,517.2795,495.392618593507,21.886861386961755
180,1001,2262,1012.2712,1036.0204412129533,-23.74926201373455
189,938,2258,920.70844,863.2683770095208,57.440058049072945
816,417,729,156.23369,152.32125472892236,3.9124336255698324
168,123,2285,702.002,698.7777177356983,3.2242964244579753
1021,370,94,886.49896,852.8940410778225,33.60492132452123
244,525,2131,414.8674,422.2019890337172,-7.334587910670336
247,966,2258,465.17172,465.6046919446961,-0.4329695325867533
796,26,860,142.23987,148.2186936165622,-5.978825452499706
297,305,2068,269.70264,254.1656811751733,15.53695554357671
453,508,1765,670.07635,659.3475751604009,10.72877982006787
994,406,91,205.48352,196.82105933827268,8.662461169539824
709,306,1294,84.97935,84.97934392890218,3.300101724335036e-06
370,213,1853,328.94336,328.6173176478845,0.32604172711552337
353,856,2006,110.653786,112.9003042351805,-2.246518529614093
525,779,1698,326.1518,315.12556910656366,11.02622532703009
666,553,1390,380.1629,374.35658701239316,5.806315819638087
616,606,1557,399.14438,399.7523858699114,-0.608007207802018
733,366,1130,178.47504,164.56638318026032,13.908653440833433
932,487,542,136.97057,136.97056289599112,2.899907315168093e-06
755,78,861,45.941128,45.94112579198222,1.9851173860274685e-06
237,734,2251,231.32983,214.71972598673452,16.610107997640483
423,1101,1848,290.33456,280.6285094902813,9.706054718703058
389,474,1873,762.7986,761.3145043229049,1.4840796614701048
160,1224,2275,1119.9373,1118.7799099262222,1.157345933152783
562,912,1572,739.30945,737.4626563824849,1.8467918597026483
100,1102,2275,1869.1086,1869.110454777932,-0.0018121998070910195
397,564,1920,181.58385,180.38217313526397,1.2016739106344687
382,804,1968,270.8514,285.15157503718626,-14.300165125076887
68,181,2329,1007.8935,1007.6407003784306,0.2527932739131984
170,664,2168,513.6654,513.5259443318351,0.13946094160235134
154,266,2288,348.49905,346.9824019017306,1.5166520533475136
395,844,2003,332.48425,325.20864263550436,7.275610294183139
165,732,2305,115.51779,114.22608000772124,1.2917117403256384
117,419,2336,530.72797,519.8809369037957,10.847029404798036
552,116,1409,283.95667,283.9566592108324,5.828230086990516e-06
170,514,2293,428.67136,416.552931460875,12.11842474029686
911,512,556,123.53285,111.36310196365521,12.169750209196351
408,1008,2051,299.6527,300.18014271683705,-0.5274327558995537
475,1165,1846,962.02185,947.6539409197934,14.3679096661441
815,193,696,170.2918,159.37972386723618,10.912069956006007
373,1000,2042,517.2887,516.5520092046016,0.7366870844608684
252,943,2259,114.02022,112.52196781010966,1.4982500853981549
791,342,1128,470.5294,462.95441785072654,7.574970577007832
416,362,1856,710.2189,698.9898062348091,11.229065835503434
791,934,1218,156.48436,118.89426051537582,37.59009922583512
681,219,1253,46.177876,45.94112579198222,0.23674972681660478
336,896,2006,712.6564,715.6891125350837,-3.032740464771223
201,273,2102,402.51508,396.04449362096454,6.470582062629205
204,679,2184,80.62961,80.93917468951722,-0.30956653522034117
